id,nombre,telefono,email,web,dificultad,id_parque  
r22,Laguna de las Yeguas,+34 915 468 111,oficina@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/gredos/guia-visitante/laguna-yeguas.html,baja,p12  
r23,Ascenso al Mulhacén,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/sierra-nevada/guia-visitante/itinerarios.html,alta,p12  
r24,Itinerario de la Laguna Permanente,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/ordesa-y-monte-perdido/guia-visitante/itinerarios.html,baja,p13  
r25,Itinerario de la Torre de Prado Ancho,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/ordesa-y-monte-perdido/guia-visitante/itinerarios.html,baja,p13  
r26,Ascenso al Teide,+34 922 290 129,teide.maot@gobiernodecanarias.org,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/teide/guia-visitante.html,alta,p14  
r27,Roques de García,+34 922 290 129,teide.maot@gobiernodecanarias.org,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/teide/guia-visitante/itinerarios.html,baja,p14  
r28,Ruta Tremesana,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cabañeros/guia-visitante/itinerarios.html,baja,p15  
r29,Ruta de los Volcanes,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cabañeros/guia-visitante/volcanes.html,alta,p15  
r30,Pinsapar de Yunquera,+34 915 468 111,info@parquesnacionales.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/los-alcornocales/guia-visitante/itinerarios.html,media,p16  
r31,Sendero de los Quejigales,+34 927 199 503,pnmonfrague@juntaex.es,https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/monfrague/guia-visitante/itinerarios.html,alta,p16  
